iter	Passed	Remaining
285	2456	7851
286	2464	7840
287	2472	7830
288	2480	7819
289	2488	7809
290	2496	7798
291	2504	7789
292	2514	7784
293	2524	7779
294	2532	7769
295	2540	7758
296	2548	7748
297	2556	7737
298	2564	7726
299	2572	7716
300	2580	7706
301	2588	7695
302	2595	7684
303	2603	7673
304	2611	7663
305	2619	7652
306	2629	7647
307	2638	7641
308	2647	7634
309	2655	7625
310	2663	7614
311	2671	7604
312	2679	7593
313	2687	7583
314	2695	7572
315	2702	7561
316	2710	7549
317	2717	7537
318	2725	7528
319	2734	7518
320	2743	7511
321	2751	7503
322	2760	7494
323	2767	7483
324	2775	7472
325	2784	7463
326	2791	7453
327	2799	7442
328	2808	7434
329	2817	7428
330	2827	7423
331	2835	7412
332	2842	7401
333	2850	7390
334	2858	7379
335	2866	7370
336	2873	7359
337	2881	7348
338	2888	7337
339	2897	7330
340	2907	7323
341	2916	7315
342	2925	7308
343	2934	7302
344	2944	7296
345	2952	7286
346	2960	7276
347	2967	7265
348	2975	7256
349	2983	7246
350	2991	7235
351	2999	7225
352	3007	7215
353	3014	7205
354	3022	7194
355	3032	7189
356	3042	7183
357	3051	7177
358	3059	7167
359	3067	7156
360	3075	7146
361	3082	7136
362	3091	7127
363	3098	7115
364	3106	7106
365	3114	7096
366	3122	7086
367	3129	7076
368	3137	7065
369	3146	7058
370	3155	7050
371	3162	7039
372	3170	7030
373	3178	7019
374	3187	7013
375	3196	7005
376	3204	6994
377	3212	6984
378	3220	6976
379	3228	6967
380	3236	6958
381	3245	6948
382	3253	6939
383	3263	6933
384	3272	6928
385	3283	6924
386	3294	6920
387	3304	6914
388	3314	6909
389	3323	6902
390	3331	6892
391	3339	6883
392	3347	6873
393	3355	6865
394	3363	6855
395	3371	6845
396	3379	6835
397	3387	6825
398	3395	6815
399	3402	6805
400	3410	6795
401	3420	6789
402	3428	6781
403	3436	6771
404	3445	6763
405	3453	6754
406	3461	6744
407	3470	6737
408	3480	6730
409	3488	6721
410	3496	6712
411	3504	6703
412	3512	6694
